name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"1,707,910,000","1,707,910,000","990,073,000","1,840,965,000","1,667,447,000","1,503,778,000","1,362,831,000","1,262,188,000","1,137,046,000","996,150,000","908,719,000","779,117,000","663,641,000","557,940,000","504,012,000","360,573,000","243,350,000","132,500,000","90,365,000","49,970,000","22,177,000"
	OperatingRevenue,"1,706,107,000","1,706,107,000","975,534,000","1,818,024,000","1,642,047,000","1,466,027,000","1,329,868,000","1,229,804,000","1,117,699,000","993,667,000","900,501,000","779,117,000","663,641,000","557,940,000","504,012,000","360,573,000","243,350,000","132,500,000","90,365,000","49,970,000","22,177,000"
CostOfRevenue,"1,476,374,000","1,476,374,000","994,413,000","1,297,260,000","1,249,959,000","1,095,805,000","890,568,000","803,488,000","852,363,000","773,725,000","721,247,000","479,695,000","365,149,000","270,005,000","311,766,000","239,961,000","171,072,000","96,555,000","67,024,000",,
	Fuel,"440,235,000","440,235,000","221,827,000","427,827,000","445,814,000","343,333,000","257,332,000","278,394,000","388,216,000","385,558,000","378,195,000","330,657,000","243,671,000","165,000,000","229,640,000","-152,149,000","-101,561,000","-52,568,000","-27,914,000",,
	MaintenanceAndRepairs,"105,943,000","105,943,000","63,895,000","91,713,000","99,015,000","113,481,000","111,070,000","92,575,000","86,781,000","72,818,000","73,897,000","147,937,000",,,,,,,,,
	RentandLandingFeesCostofRevenue,"21,242,000","21,242,000","9,828,000","0","868,000","3,098,000","924,000","2,326,000","15,945,000","9,227,000","0","1,101,000","1,721,000","1,926,000","2,815,000","-3,004,000","-5,102,000","-4,987,000","-3,847,000",,
	DDACostofRevenue,"181,035,000","181,035,000","176,267,000","155,852,000","129,351,000","121,713,000","105,216,000","98,097,000","83,409,000","69,264,000","57,503,000",,,,,,,,,,
	OtherCostofRevenue,"727,919,000","727,919,000","522,596,000","621,868,000","574,911,000","514,180,000","416,026,000","332,096,000","278,012,000","236,858,000","211,652,000",,"119,757,000","103,079,000","79,311,000","395,114,000","277,735,000","154,110,000","98,785,000",,
GrossProfit,"231,536,000","231,536,000","-4,340,000","543,705,000","417,488,000","407,973,000","472,263,000","458,700,000","284,683,000","222,425,000","187,472,000","299,422,000","298,492,000","287,935,000","192,246,000","120,612,000","72,278,000","35,945,000","23,341,000",,
OperatingExpense,"-45,537,000","-45,537,000","-29,654,000","179,755,000","174,029,000","145,551,000","101,705,000","86,998,000","84,058,000","67,688,000","55,168,000","213,978,000","190,394,000","161,830,000","130,768,000","319,517,000","225,899,000","128,986,000","31,627,000","47,070,000","23,108,000"
	SellingGeneralAndAdministration,"72,742,000","72,742,000","43,517,000","78,910,000","73,514,000","52,711,000","20,527,000","21,349,000","28,492,000","21,678,000","19,222,000","139,761,000","155,429,000","132,192,000","107,279,000","15,807,000","14,395,000","10,612,000","7,395,000","2,385,000","632,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,"119,856,000","138,367,000","115,734,000","92,918,000","3,004,000","14,395,000","10,612,000","7,395,000",,
			SalariesAndWages,,,,,,,,,,,,"119,856,000","108,000,000","90,006,000","72,007,000","-50,761,000","-34,950,000","-21,718,000","-15,379,000",,
			OtherGandA,,,,,,,,,,,,,"30,367,000","25,728,000","20,911,000","53,765,000","49,345,000","32,330,000","22,774,000",,
		SellingAndMarketingExpense,"72,742,000","72,742,000","43,517,000","78,910,000","73,514,000","52,711,000","20,527,000","21,349,000","28,492,000","21,678,000","19,222,000","19,905,000","17,062,000","16,458,000","14,361,000","12,803,000",,,,"2,385,000",
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,"41,975,000","34,965,000","29,638,000","23,489,000","15,992,000","10,584,000","5,088,000","2,183,000","1,181,000","260,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,"41,975,000","34,965,000","29,638,000","23,489,000","15,992,000","10,584,000","5,088,000","2,183,000","1,181,000","260,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,"15,992,000","10,584,000","5,088,000","2,183,000",,
	OtherOperatingExpenses,"-118,279,000","-118,279,000","-73,171,000","100,845,000","100,515,000","92,840,000","81,178,000","65,649,000","55,566,000","46,010,000","35,946,000","32,242,000",,"25,728,000","410,314,000","287,718,000","200,920,000","113,286,000","22,049,000","43,504,000","22,216,000"
OperatingIncome,"277,073,000","277,073,000","25,314,000","363,950,000","243,459,000","262,422,000","370,558,000","371,702,000","200,625,000","154,737,000","132,304,000","85,444,000","108,098,000","126,105,000","61,478,000","-198,905,000","-153,621,000","-93,041,000","-8,286,000","2,900,000","-931,000"
NetNonOperatingInterestIncomeExpense,"-66,589,000","-66,589,000","-50,917,000","-59,806,000","-44,536,000","-33,182,000","-25,826,000","-25,119,000","-20,431,000","-8,450,000","-7,756,000","-5,939,000","-1,338,000","-1,605,000","-681,000",,,,,,
	InterestIncomeNonOperating,"1,814,000","1,814,000","5,509,000","12,523,000","9,226,000","5,808,000","3,010,000","1,391,000","774,000","1,043,000","983,000","1,236,000","1,184,000","2,474,000","4,730,000",,,,,,
	InterestExpenseNonOperating,"68,403,000","68,403,000","56,426,000","72,329,000","53,762,000","38,990,000","28,836,000","26,510,000","21,205,000","9,493,000","8,739,000","7,175,000","2,522,000","4,079,000","5,411,000",,,,,,
OtherIncomeExpense,"-13,864,000","-13,864,000","-335,464,000","-2,897,000","395,000","-33,694,000","1,226,000","136,000","-43,063,000","393,000","99,000","9,000","14,000","-84,000","85,000",,,,"4,438,000",,"725,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,"-11,000",,,,,,
	EarningsFromEquityInterest,,,,,,,,,"217,000","393,000","99,000","9,000",,,"96,000",,,,,,
	SpecialIncomeCharges,"-14,069,000","-14,069,000","-334,153,000","-3,677,000","0","-35,253,000","0","0","-43,280,000",,,"9,000","14,000","-84,000","-11,000",,,,"4,438,000",,"725,000"
