name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"6,176,000,000","6,176,000,000","3,566,000,000","8,781,000,000","8,264,000,000","7,933,000,000","5,931,000,000","5,598,000,000","5,368,000,000","5,156,000,000","4,657,000,000","4,317,800,000","3,832,300,000","3,399,800,000","3,662,600,000","3,506,000,000","3,334,400,000","2,975,300,000","2,723,800,000","2,444,800,000","2,224,100,000","2,140,900,000","2,177,200,000","2,082,000,000","1,897,700,000","1,739,400,000","1,592,200,000","1,417,500,000","1,315,620,000","1,128,300,000","1,115,400,000","1,104,000,000","1,047,000,000","916,500,000","814,400,000","709,800,000","468,300,000","433,200,000"
	OperatingRevenue,"5,499,000,000","5,499,000,000","3,019,000,000","8,095,000,000","7,632,000,000","6,932,000,000","5,114,000,000","4,901,000,000","4,693,000,000","4,380,000,000","4,141,000,000","4,317,800,000","3,832,300,000","3,399,800,000","3,662,600,000","3,506,000,000","3,334,400,000","2,975,300,000","2,723,800,000","2,444,800,000","2,224,100,000","2,152,800,000","2,177,200,000","2,082,000,000","1,897,700,000","1,739,400,000","1,592,200,000","1,417,500,000","1,315,600,000","1,128,300,000","1,115,400,000","1,104,000,000","1,047,000,000","916,500,000","814,400,000","709,800,000","468,300,000","433,200,000"
CostOfRevenue,"4,822,000,000","4,822,000,000","3,980,000,000","6,802,000,000","6,591,000,000","5,633,000,000","3,875,000,000","3,701,000,000","3,929,000,000","3,861,000,000","3,709,000,000","2,110,100,000","966,200,000","705,000,000","1,508,600,000","888,400,000","1,113,900,000","2,133,000,000","1,826,500,000","1,605,900,000","1,493,100,000","1,463,700,000","1,451,100,000","1,180,700,000","1,058,600,000","1,030,300,000","1,075,300,000","900,200,000","837,900,000","733,000,000","744,800,000","673,800,000","633,500,000","516,700,000","400,400,000","375,000,000","228,300,000","230,900,000"
	Fuel,"1,279,000,000","1,279,000,000","723,000,000","1,878,000,000","1,936,000,000","1,447,000,000","831,000,000","954,000,000","1,418,000,000","1,467,000,000","1,459,000,000","1,297,700,000","900,900,000","658,100,000","1,398,400,000","876,300,000","873,500,000","-722,800,000","-540,700,000","-356,900,000","-302,000,000","-324,300,000","-383,300,000","-249,800,000","-192,500,000","-232,600,000","-234,200,000","-181,200,000","-152,300,000",,,,,,,,,
	MaintenanceAndRepairs,"364,000,000","364,000,000","321,000,000","437,000,000","435,000,000","391,000,000","270,000,000","253,000,000","229,000,000","247,000,000","222,000,000","205,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	RentandLandingFeesCostofRevenue,"809,000,000","809,000,000","716,000,000","862,000,000","814,000,000","734,000,000","434,000,000","401,000,000","389,000,000","381,000,000","359,000,000","354,500,000","371,700,000","376,900,000","386,800,000","404,400,000","384,200,000","-395,400,000","-372,500,000","-359,800,000","-330,700,000","-314,200,000","-286,600,000","-288,300,000","-275,800,000","-250,100,000","-243,600,000","-172,100,000","-168,500,000",,,,,,,,,
	DDACostofRevenue,"394,000,000","394,000,000","420,000,000","423,000,000","398,000,000","372,000,000","363,000,000","320,000,000","294,000,000","270,000,000","264,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherCostofRevenue,"1,976,000,000","1,976,000,000","1,800,000,000","3,202,000,000","3,008,000,000","2,689,000,000","1,977,000,000","1,773,000,000","1,599,000,000","1,496,000,000","1,405,000,000","252,300,000","-306,400,000","-330,000,000","-276,600,000","-392,300,000","-143,800,000","3,251,200,000","2,739,700,000","2,322,600,000","2,125,800,000","2,102,200,000","2,121,000,000","1,718,800,000","1,526,900,000","1,513,000,000","1,553,100,000","1,253,500,000","1,158,700,000",,,,,,,,,
GrossProfit,"1,354,000,000","1,354,000,000","-414,000,000","1,979,000,000","1,673,000,000","2,300,000,000","2,056,000,000","1,897,000,000","1,439,000,000","1,295,000,000","948,000,000","2,207,700,000","2,866,100,000","2,694,800,000","2,154,000,000","2,617,600,000","2,220,500,000","842,300,000","897,300,000","838,900,000","731,000,000","677,200,000","726,100,000","901,300,000","839,100,000","709,100,000","516,900,000","517,300,000","477,720,000","395,300,000","370,600,000","430,200,000","413,500,000","399,800,000","414,000,000","334,800,000","240,000,000","202,300,000"
OperatingExpense,"680,000,000","680,000,000","508,000,000","872,000,000","898,000,000","922,000,000","590,000,000","567,000,000","507,000,000","457,000,000","416,000,000","1,719,900,000","1,651,100,000","1,673,600,000","1,539,700,000","1,596,800,000","1,514,600,000","3,525,500,000","3,082,500,000","2,815,700,000","2,643,700,000","2,562,000,000","2,460,400,000","2,170,400,000","1,962,500,000","1,850,500,000","1,746,800,000","1,513,700,000","1,409,122,000","412,100,000","465,500,000","395,600,000","385,000,000","329,900,000","343,400,000","300,500,000","202,200,000","171,200,000"
