name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalRevenue,"1,596,584,000","1,596,584,000","844,813,000","2,832,228,000","2,837,411,000","2,695,628,000","2,450,580,000","2,317,467,000","2,314,879,000","2,155,865,000","1,962,353,000","1,650,459,000","1,310,093,000","1,183,306,000","1,210,865,000","982,555,000","888,047,000","504,323,000","0","157,064,000","632,038,000","611,582,000","607,220,000","488,877,000","426,400,000","404,300,000","384,400,000","346,900,000","89,200,000"
	OperatingRevenue,"1,370,902,000","1,370,902,000","664,799,000","2,597,772,000","2,602,793,000","2,362,076,000","2,145,742,000","2,025,610,000","2,045,052,000","1,942,829,000","1,767,041,000","1,480,663,000","1,310,093,000","1,183,306,000","1,210,865,000","982,555,000","888,047,000","504,323,000","0","157,064,000","632,038,000","611,582,000","607,220,000","488,877,000","426,400,000","404,300,000","384,400,000","346,900,000","89,200,000"
CostOfRevenue,"1,804,587,000","1,804,587,000","1,157,273,000","2,219,275,000","2,206,199,000","1,912,090,000","1,692,756,000","1,657,458,000","1,764,796,000","1,723,163,000","1,565,700,000","595,534,000","338,580,000","277,967,000","649,039,000","779,132,000","714,739,000","425,254,000","7,266,000","149,679,000","557,733,000","467,460,000","446,400,000","346,068,000","296,300,000","296,100,000","286,800,000","277,200,000","77,400,000"
	Fuel,"363,003,000","363,003,000","161,363,000","542,573,000","599,544,000","440,383,000","344,322,000","417,728,000","678,253,000","698,802,000","631,741,000","513,284,000","322,999,000","243,909,000","424,532,000","-291,636,000","-241,660,000","-131,426,000",,"-25,716,000","-95,457,000","-111,876,000","-127,221,000","-76,382,000","-66,600,000","-78,100,000","-75,900,000",,
	MaintenanceAndRepairs,"170,048,000","170,048,000","121,571,000","249,772,000","239,759,000","219,553,000","228,970,000","224,648,000","225,619,000","203,387,000","183,552,000","169,851,000",,,,,,,,,,,,,,,,,
	RentandLandingFeesCostofRevenue,"226,248,000","226,248,000","177,698,000","248,526,000","252,864,000","254,527,000","232,652,000","210,708,000","194,324,000","189,851,000","184,409,000","185,328,000","170,554,000","153,388,000","39,067,000","-125,523,000","-135,312,000","-77,574,000",,"-35,648,000","-107,641,000","-61,767,000","-39,458,000","-31,640,000","-30,500,000","-32,700,000","-35,000,000",,
	DDACostofRevenue,"138,299,000","138,299,000","151,665,000","158,906,000","139,866,000","113,277,000","108,128,000","105,581,000","96,374,000","83,050,000","85,599,000",,,,,,,,,,,,,,,,,,
	OtherCostofRevenue,"906,989,000","906,989,000","544,976,000","1,019,498,000","974,166,000","884,350,000","778,684,000","698,793,000","570,226,000","548,073,000","480,399,000","82,250,000","-154,973,000","-119,330,000","185,440,000","1,196,291,000","1,091,711,000","634,254,000",,"211,043,000","760,831,000","641,103,000","613,079,000","454,090,000","393,400,000","406,900,000","397,700,000","277,200,000",
GrossProfit,"-208,003,000","-208,003,000","-312,460,000","612,953,000","631,212,000","783,538,000","757,824,000","660,009,000","550,083,000","432,702,000","396,653,000","1,054,925,000","971,513,000","905,339,000","561,826,000","203,423,000","173,308,000","79,069,000","-7,266,000","7,385,000","74,305,000","144,122,000","160,820,000","142,809,000","130,100,000","108,200,000","97,600,000","69,700,000","11,800,000"
OperatingExpense,"-134,422,000","-134,422,000","151,040,000","285,476,000","281,522,000","276,316,000","253,220,000","233,906,000","304,951,000","298,955,000","267,255,000","964,628,000","539,127,000","491,079,000","444,294,000","1,101,244,000","1,020,189,000","579,867,000","7,266,000","206,032,000","786,377,000","418,382,000","360,059,000","304,273,000","258,400,000","247,300,000","237,600,000","70,100,000","18,000,000"
	SellingGeneralAndAdministration,"72,512,000","72,512,000","46,297,000","130,216,000","129,315,000","131,783,000","125,731,000","119,746,000","122,518,000","125,900,000","114,324,000","602,833,000","375,764,000","337,918,000","299,372,000","401,683,000","411,897,000","81,915,000","0","36,744,000","122,286,000","271,392,000","214,715,000","182,529,000","161,100,000","160,300,000","157,000,000","61,500,000","15,600,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,"506,569,000","297,567,000","272,623,000","242,798,000","455,285,000","460,472,000","81,915,000",,"36,744,000","122,286,000","292,204,000","229,513,000","195,000,000","172,800,000","173,300,000","170,400,000",,
