Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,4.543210,5.185185,4.370370,5.185185,4.711396,82452435
1996-02-01,5.185185,6.296296,5.012346,6.074074,5.519066,108465580
1996-03-01,6.098765,6.518519,5.629630,5.876543,5.341322,68072402
1996-04-01,5.827160,6.567901,5.629630,5.876543,5.341322,86057441
1996-05-01,5.876543,6.049383,5.086420,5.407407,4.914912,89546514
1996-06-01,5.432099,5.901235,5.308642,5.753086,5.230977,74166134
1996-07-01,5.728395,5.728395,4.419753,4.888889,4.445205,73640140
1996-08-01,4.913580,5.135802,4.419753,4.493827,4.086000,64344884
1996-09-01,4.444444,4.641975,4.222222,4.518519,4.110257,85789634
1996-10-01,4.518519,4.617284,4.074074,4.444444,4.042874,116943247
1996-11-01,4.469136,5.135802,4.469136,4.913580,4.469622,81857084
1996-12-01,4.888889,5.061728,4.320988,4.345679,3.953032,76650301
1997-01-01,4.419753,4.592593,4.197531,4.345679,3.954631,77127697
1997-02-01,4.345679,4.938272,4.271605,4.641975,4.224264,58838404
1997-03-01,4.617284,4.814815,4.370370,4.370370,3.979019,43898458
1997-04-01,4.395062,5.530864,4.246914,5.432099,4.945674,89078233
1997-05-01,5.432099,5.506173,5.037037,5.086420,4.630948,73592044
1997-06-01,5.086420,5.296296,4.938272,5.111111,4.655469,62810441
1997-07-01,5.333333,5.851852,5.135802,5.728395,5.217726,80860783
1997-08-01,5.728395,5.925926,5.432099,5.530864,5.037801,56097566
1997-09-01,5.555556,6.555556,5.543210,6.320988,5.759912,99627473
1997-10-01,6.419753,7.209877,5.580247,6.444444,5.872411,103263360
1997-11-01,6.469136,7.382716,6.469136,7.240741,6.598025,55892365
1997-12-01,7.240741,7.777778,6.666667,7.296296,6.648651,62988646
1998-01-01,7.370370,8.407407,6.814815,7.722222,7.039687,71378894
1998-02-01,8.277778,9.333333,7.925926,8.500000,7.748721,90661618
1998-03-01,8.518519,9.518519,7.555556,8.759259,7.985068,81041180
1998-04-01,8.888889,9.203704,7.629630,8.129630,7.413578,70558431
1998-05-01,8.222222,8.296296,7.481481,7.907407,7.210928,64192505
1998-06-01,7.925926,8.925926,7.666667,8.759259,7.987754,56029394
1998-07-01,8.796296,9.944444,8.518519,9.759259,8.903017,71508494
1998-08-01,9.685185,9.833333,7.638889,7.916667,7.222085,67873390
1998-09-01,8.111111,10.388889,7.694444,9.000000,8.213737,54388575
1998-10-01,8.722222,9.694444,6.805556,9.388889,8.568655,67499325
1998-11-01,9.555556,10.555556,9.194444,9.638889,8.796815,67219425
1998-12-01,9.361111,10.416667,9.027778,10.083333,9.202434,55121850
1999-01-01,9.972222,14.222222,9.944444,11.972222,10.930254,83969775
1999-02-01,11.972222,14.000000,11.583333,13.388889,12.223632,57585600
1999-03-01,13.333333,15.277778,12.916667,13.444444,12.274348,81589275
1999-04-01,13.638889,15.722222,13.361111,14.472222,13.216043,76210875
1999-05-01,14.361111,15.361111,13.027778,14.250000,13.013114,72853425
1999-06-01,14.277778,14.916667,13.555556,13.833333,12.632610,47866725
1999-07-01,14.000000,14.861111,11.958333,12.333333,11.265607,70576650
